file_path,thumbnail,set_key,langs
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/011.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/011-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/012.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/012-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/013.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/013-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/014.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/014-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/015.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/015-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/016.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/016-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/017.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/017-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/018.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/018-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/019.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/019-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/020.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/020-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/021.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/021-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
