order;file_path;thumbnail;set_key;langs;width;height;hide
0;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/025.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/025-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1780;3000;1
1;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/026.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/026-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1791;3000;1
2;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/027.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/027-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1782;3000;1
3;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/028.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/028-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1753;3000;1
4;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/029.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/029-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1781;3000;1
5;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/030.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/030-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1775;3000;1
6;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/031.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/031-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1793;3000;1
7;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/032.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/032-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1775;3000;1
8;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/033.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/033-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1786;3000;1
9;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/034.jpg;https://skillnet.hum.uu.nl/data/enfr/Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380/034-thumb.jpg;Armand-Jean-du-Plessis-Cardinal-Richelieu-Lettres-du-Cardinal-duc-de-Richelieu-Paris-1695-25-380;FR;1791;3000;1
